step,time,action,reward,pending_requests,total_deliveries,traffic_state,fleet_utilization
77,783.1507123326126,91,-1.889174084890178,19,67,NORMAL_TRAFFIC,0.8
78,784.4348528457931,7,0.6228079510812718,18,68,NORMAL_TRAFFIC,0.8
79,784.6569168766537,9,-1.3542966969873567,17,69,NORMAL_TRAFFIC,0.8
80,792.886655779443,10,0.5309976089814079,16,70,NORMAL_TRAFFIC,0.8
81,793.2801131942708,8,-1.9293052148120338,15,70,NORMAL_TRAFFIC,0.8
82,796.1639218909278,15,0.6838989674085643,14,71,NORMAL_TRAFFIC,0.8
83,797.0285745058848,6,-1.9125434457117678,13,71,NORMAL_TRAFFIC,0.8
84,803.1387980840424,3,-1.8015409919379792,12,71,NORMAL_TRAFFIC,0.8
85,807.1267288122932,41,-1.4000189047363347,11,72,NORMAL_TRAFFIC,0.8
86,807.2125317881621,54,-1.2583318931628136,10,73,NORMAL_TRAFFIC,0.8
87,812.1343883788469,12,0.6962163860680846,17,74,NORMAL_TRAFFIC,0.8
88,812.903613090357,25,-1.6738093290983587,16,74,NORMAL_TRAFFIC,0.8
89,817.8793797625002,6,-1.7086807273441242,15,74,NORMAL_TRAFFIC,0.8
90,823.2586556970389,24,-1.285354782265222,14,75,NORMAL_TRAFFIC,0.8
91,829.2888063254944,48,0.680902120133042,13,76,NORMAL_TRAFFIC,0.8
92,829.4217503732651,40,0.6810825496710307,12,77,NORMAL_TRAFFIC,0.8
93,836.8089216087496,17,0.5578197159654146,11,78,NORMAL_TRAFFIC,0.8
94,841.9409235706612,9,-1.219204295535464,17,79,NORMAL_TRAFFIC,0.8
95,844.6607299859535,11,-1.6200014525455964,16,79,NORMAL_TRAFFIC,0.8
96,849.5688049175028,0,-1.6400591252904817,15,79,NORMAL_TRAFFIC,0.8
97,853.4769706468528,39,-1.6299234442183166,14,79,NORMAL_TRAFFIC,0.8
98,853.8189522018671,0,-1.0936954197666613,13,80,NORMAL_TRAFFIC,0.8
99,855.8495940300877,38,0.7279785477656457,12,81,NORMAL_TRAFFIC,0.8
100,869.1846812641098,12,0.5826505267761731,11,82,NORMAL_TRAFFIC,0.8
101,870.7817368226065,14,-1.0880443845013072,14,83,NORMAL_TRAFFIC,0.8
102,878.3348375186087,1,0.7532542492682944,13,84,NORMAL_TRAFFIC,0.8
103,878.6744012095064,33,-1.1055331609586336,12,85,NORMAL_TRAFFIC,0.8
104,879.9037315987763,10,-1.0185694730912112,11,86,NORMAL_TRAFFIC,0.8
105,879.9513449087921,22,-1.4656465999106811,10,86,NORMAL_TRAFFIC,0.8
106,881.6333748429153,34,-1.4472253387030378,9,86,NORMAL_TRAFFIC,0.8
107,890.3429877109787,41,-1.5851175650162286,8,86,NORMAL_TRAFFIC,0.8
108,896.6241687746882,18,-1.5265680339504315,7,86,NORMAL_TRAFFIC,0.8
109,896.9046468078903,3,0.8143769433715521,6,87,NORMAL_TRAFFIC,0.8
110,899.391336256153,22,-0.9335273696405096,5,88,NORMAL_TRAFFIC,0.8
111,900.5850565431567,10,0.8207341080058087,10,89,NORMAL_TRAFFIC,0.8
112,908.1343303228763,49,-1.4147748874739614,9,89,NORMAL_TRAFFIC,0.8
113,908.449570703494,13,0.8609093359394017,8,90,NORMAL_TRAFFIC,0.8
114,919.3826522350596,6,0.6957095609164928,7,91,NORMAL_TRAFFIC,0.8
115,919.4034446441981,4,0.8728403936531912,6,92,NORMAL_TRAFFIC,0.8
116,919.8407385501329,2,-1.3431135474258553,5,92,NORMAL_TRAFFIC,0.8
117,931.0511322779814,4,0.6674878321434794,9,93,NORMAL_TRAFFIC,0.8
118,933.5855081022797,36,0.9200141510130386,8,94,NORMAL_TRAFFIC,0.8
119,939.5299926605184,0,0.9165987007934164,7,95,NORMAL_TRAFFIC,0.8
120,940.7840272757912,7,0.8200158635667363,6,96,NORMAL_TRAFFIC,0.8
121,942.011999264233,4,-0.896612031145382,5,97,NORMAL_TRAFFIC,0.8
122,953.4958607140533,3,0.6892157008409061,4,98,NORMAL_TRAFFIC,0.8
123,961.6249605793438,11,-1.1022073555724687,17,99,NORMAL_TRAFFIC,0.8
124,965.3536823693612,60,0.9011181671991344,16,100,NORMAL_TRAFFIC,0.8
125,972.5998941362756,14,0.8001992037563432,15,101,NORMAL_TRAFFIC,0.8
126,974.6020801191764,13,0.8418699806129109,14,102,NORMAL_TRAFFIC,0.8
127,976.1185445395363,62,-1.3398067571514043,13,102,NORMAL_TRAFFIC,0.8
128,986.2529798674236,34,-1.0067256561955604,12,103,NORMAL_TRAFFIC,0.8
129,987.7660817970761,26,0.9286036002934249,11,104,NORMAL_TRAFFIC,0.8
130,988.5191423772227,3,0.9610277152903055,10,105,NORMAL_TRAFFIC,0.8
131,996.9480475968036,15,-1.0398587571192255,18,106,NORMAL_TRAFFIC,0.8
132,1002.3766127754495,34,-0.8186786435695342,17,107,NORMAL_TRAFFIC,0.8
133,1007.0112559027297,42,-0.8569523686237014,16,108,NORMAL_TRAFFIC,0.8
134,1015.8367649621354,18,-1.0105169800326346,15,109,NORMAL_TRAFFIC,0.8
135,1018.434845221207,51,0.9333085713712556,14,110,NORMAL_TRAFFIC,0.8
136,1024.4378088398842,4,-1.2292163103132767,21,110,HEAVY_TRAFFIC,0.8
137,1024.5054743740586,56,0.9716371699793703,20,111,HEAVY_TRAFFIC,0.8
138,1025.9573268598647,55,-1.2244324483040743,19,111,HEAVY_TRAFFIC,0.8
139,1029.775444961883,9,-0.7964674048124792,18,112,HEAVY_TRAFFIC,0.8
140,1030.571394566856,22,-0.7849362478688081,17,113,HEAVY_TRAFFIC,0.8
141,1036.5691191024862,38,-1.3209017565086223,16,113,HEAVY_TRAFFIC,0.8
142,1040.3255669001053,26,-1.3060058213005838,15,113,HEAVY_TRAFFIC,0.8
143,1055.0447472452315,16,-0.8701561378732665,20,114,HEAVY_TRAFFIC,0.8
144,1057.1561674697045,5,-1.19270939934471,19,114,HEAVY_TRAFFIC,0.8
145,1057.198809134323,50,-0.7631444932814122,18,115,HEAVY_TRAFFIC,0.8
146,1059.030068571881,12,-0.7090516815590748,17,116,HEAVY_TRAFFIC,0.8
147,1059.0411794712873,9,-1.2116806749359674,16,116,HEAVY_TRAFFIC,0.8
148,1059.9976667218855,40,0.9614261010448969,15,117,HEAVY_TRAFFIC,0.8
149,1063.5194865711333,68,-1.1153461520342982,14,117,HEAVY_TRAFFIC,0.8
150,1064.660924828553,37,-1.1351965351995388,13,117,HEAVY_TRAFFIC,0.8
151,1069.5392906522902,14,-1.1446679894538612,12,117,HEAVY_TRAFFIC,0.8
152,1069.595240891901,0,-1.1369480934922591,11,117,HEAVY_TRAFFIC,0.8
153,1076.539565892381,22,-1.157363016303192,10,117,HEAVY_TRAFFIC,0.8
154,1078.4294804488381,40,-0.5971317625622076,9,118,HEAVY_TRAFFIC,0.8
155,1088.2028892457265,26,1.1686169829761661,13,119,HEAVY_TRAFFIC,0.8
156,1094.2120424943166,43,-0.7123514759741005,12,120,HEAVY_TRAFFIC,0.8
157,1101.784768877053,4,1.1892223839540008,11,121,HEAVY_TRAFFIC,0.8
158,1102.751525761358,6,1.1031232366702635,10,122,HEAVY_TRAFFIC,0.8
159,1106.4078013688097,2,-1.2391923149739728,9,122,HEAVY_TRAFFIC,0.8
160,1110.1133930470585,41,1.1673075918376765,19,123,HEAVY_TRAFFIC,0.8
161,1111.671784788324,80,1.1551871952878152,18,124,HEAVY_TRAFFIC,0.8
162,1124.9151937531717,63,-1.12823529783908,17,124,HEAVY_TRAFFIC,0.8
163,1125.8650934210577,2,-1.103228740428466,16,124,HEAVY_TRAFFIC,0.8
164,1132.8056798668704,12,-0.5864484519361394,15,125,HEAVY_TRAFFIC,0.8
165,1135.1790237798336,29,-1.0603917354007881,14,125,HEAVY_TRAFFIC,0.8
166,1135.2195528747955,4,1.1302953587994273,13,126,HEAVY_TRAFFIC,0.8
167,1136.3232797532353,23,1.1915815398083527,12,127,HEAVY_TRAFFIC,0.8
168,1136.6104251733086,0,-0.9473450863721645,11,127,HEAVY_TRAFFIC,0.8
169,1139.7629729800185,49,-0.9681586885934611,10,127,HEAVY_TRAFFIC,0.8
170,1140.0269133138463,20,-0.8975480529030637,16,127,HEAVY_TRAFFIC,0.8
171,1140.904228294935,17,-0.8959240220069034,15,127,HEAVY_TRAFFIC,0.8
172,1142.1667230468731,23,1.284238853054656,14,128,HEAVY_TRAFFIC,0.8
173,1159.1643830178994,11,1.0631496885138132,13,129,HEAVY_TRAFFIC,0.8
174,1162.7813314601492,0,-0.9773055605142887,12,129,HEAVY_TRAFFIC,0.8
175,1166.5985585971582,0,1.2893519469372563,11,130,HEAVY_TRAFFIC,0.8
176,1170.3569771514328,6,1.2518989290818336,20,131,HEAVY_TRAFFIC,0.8
177,1170.365459289834,74,-0.9329878172605174,19,131,HEAVY_TRAFFIC,0.8
178,1173.211219111307,75,-0.4555528240313118,18,132,HEAVY_TRAFFIC,0.8
179,1179.853808670828,13,-0.5021127557162921,17,133,HEAVY_TRAFFIC,0.8
180,1185.7351925709568,37,-0.9131424762986868,16,133,HEAVY_TRAFFIC,0.8
181,1192.1289089180257,73,1.1639363263934726,15,134,HEAVY_TRAFFIC,0.8
182,1196.7046768477667,30,1.316266578118941,14,135,HEAVY_TRAFFIC,0.8
183,1205.4977622776619,24,-0.6861667831930215,21,136,HEAVY_TRAFFIC,0.8
184,1207.9646851970388,16,-0.9030228576661153,20,136,HEAVY_TRAFFIC,0.8
185,1212.5077736322335,54,-0.4685962514096767,19,137,HEAVY_TRAFFIC,0.8
186,1217.1942278709055,2,1.1100139227946773,18,138,HEAVY_TRAFFIC,0.8
187,1227.0556170447803,73,-0.6020130037074165,17,139,HEAVY_TRAFFIC,0.8
188,1228.9063749557804,0,-0.5053390651978216,16,140,HEAVY_TRAFFIC,0.8
189,1229.5107831016073,1,-0.9276795558513273,15,140,HEAVY_TRAFFIC,0.8
190,1236.9476207578243,10,-0.5133880694895673,17,141,NORMAL_TRAFFIC,0.8
191,1240.3158327463068,24,-0.9544542822034668,16,141,NORMAL_TRAFFIC,0.8
192,1241.156295938988,24,1.3341679811376126,15,142,NORMAL_TRAFFIC,0.8
193,1244.0390472727609,3,-0.9359439390805881,14,142,NORMAL_TRAFFIC,0.8
194,1244.8121224580948,24,-0.9097043105144722,13,142,NORMAL_TRAFFIC,0.8
195,1247.6171426593348,8,-0.9450466215577822,12,142,NORMAL_TRAFFIC,0.8
196,1248.7584287946913,9,-0.8491358834267919,11,142,NORMAL_TRAFFIC,0.8
197,1250.5200930161238,3,1.2718550147974998,10,143,NORMAL_TRAFFIC,0.8
198,1253.6818145654447,0,-0.5568875701568515,9,144,NORMAL_TRAFFIC,0.8
199,1254.168659524933,26,-0.41644794967956456,8,145,NORMAL_TRAFFIC,0.8
200,1257.249732221903,7,-0.8574896997745786,7,145,NORMAL_TRAFFIC,0.8
201,1262.404371055337,33,-1.040425817664393,7,145,NORMAL_TRAFFIC,0.8
202,1266.8159182412599,10,1.4238256408538192,6,146,NORMAL_TRAFFIC,0.8
203,1272.8031792276674,24,1.2377888599027116,5,147,NORMAL_TRAFFIC,0.8
204,1280.1306125681815,7,-0.9792766135368666,4,147,NORMAL_TRAFFIC,0.8
205,1283.548967966634,17,-0.4244557803550826,3,148,NORMAL_TRAFFIC,0.8
206,1285.05464810448,6,1.354998555670741,2,149,NORMAL_TRAFFIC,0.8
207,1286.2072512400473,0,-0.45148779335715283,1,150,NORMAL_TRAFFIC,0.8
208,1297.9761109810668,3,-0.728805028377184,4,151,NORMAL_TRAFFIC,0.8
209,1301.2786521724383,9,1.246126714622482,3,152,NORMAL_TRAFFIC,0.8
210,1312.1021957971157,1,1.256898993964589,2,153,NORMAL_TRAFFIC,0.8
211,1314.8529357499524,2,1.3147896523545548,1,154,NORMAL_TRAFFIC,0.8
212,1320.8556789067122,3,1.0873643236494293,5,155,NORMAL_TRAFFIC,0.8
213,1334.820694270495,14,1.1939783566523707,4,156,NORMAL_TRAFFIC,0.8
214,1337.6776856277265,6,1.2432338453258314,3,157,NORMAL_TRAFFIC,0.8
215,1339.1481227554818,4,-0.4914363008691202,2,158,NORMAL_TRAFFIC,0.8
216,1348.7321934991173,2,1.2209314841104548,1,159,NORMAL_TRAFFIC,0.8
217,1352.2755051624506,3,-0.7241672003052473,2,160,LOW_TRAFFIC,0.8
218,1360.8215423171578,0,1.2816104057981008,1,161,LOW_TRAFFIC,0.8
219,1410.0,2,4.170821681644713,1,166,LOW_TRAFFIC,0.0
220,1440.0,1,1.029379362964362,0,167,LOW_TRAFFIC,0.0
