method,avg_inference_latency_ms_mean,avg_inference_latency_ms_std,avg_turnaround_time_mean,avg_turnaround_time_std,completion_rate_mean,completion_rate_std,delivered_requests_mean,delivered_requests_std,expired_requests_mean,expired_requests_std,fleet_utilization_mean,fleet_utilization_std,num_episodes,requests_per_second_mean,requests_per_second_std,sla_compliance_rate_mean,sla_compliance_rate_std,total_distance_mean,total_distance_std,total_fuel_consumed_mean,total_fuel_consumed_std,total_requests_mean,total_requests_std,total_reward_mean,total_reward_std
nearest_vehicle,0.2965,0.1089,48.0527,2.193,0.787,0.0335,169.3333,4.9216,45.3333,9.3927,0.0,0.0,3,0.0,0.0,0.8452,0.0247,1418.4417,27.0462,113.4753,2.1641,215.6667,13.0213,-18.007,13.2988
greedy,0.3141,0.1384,54.955,1.4561,0.761,0.0624,163.3333,4.4969,51.3333,15.9652,0.0,0.0,3,0.0,0.0,0.7075,0.0347,1597.065,27.944,127.765,2.2356,215.6667,13.0213,-33.681,5.2391
ortools_vrp,16.6765,0.2287,50.087,2.908,0.7877,0.0449,169.3333,4.0277,45.3333,11.8415,0.0,0.0,3,0.0,0.0,0.7664,0.0459,1447.1373,12.7151,115.771,1.0172,215.6667,13.0213,-19.9587,11.8037
ppo,0.5744,0.0187,53.3787,0.6575,0.6579,0.0432,141.3333,0.4714,73.3333,13.2749,0.0,0.0,3,0.0,0.0,0.8325,0.0375,1615.7117,31.2165,129.257,2.4976,215.6667,13.0213,-25.8133,7.089
